date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:45	39250/39250	---M-Z	200	added ('OK')	text/html	etag:%229952-64c7cc82-b46a7d6b56e9b1b0;gz%22	https://demo.graygrids.com/themes/estore/login-page.html	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/login-page.html	(from https://demo.graygrids.com/themes/estore/)
15:05:45	66559/66559	---M-Z	200	added ('OK')	text/html	etag:%22103ff-64c7cc82-a8e3181e0fdcc8d7;gz%22	https://demo.graygrids.com/themes/estore/product-details-page.html	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/product-details-page.html	(from https://demo.graygrids.com/themes/estore/)
15:05:46	39869/39869	---M-Z	200	added ('OK')	text/html	etag:%229bbd-64c7cc81-cf96001b5bb22635;gz%22	https://demo.graygrids.com/themes/estore/signup-page.html	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/signup-page.html	(from https://demo.graygrids.com/themes/estore/)
15:05:46	1928/1928	---M-Z	200	added ('OK')	image/svg+xml	etag:%22788-64c7cc99-ba44eedd34f7dd52;gz%22	https://demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-1.svg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-1.svg	(from https://demo.graygrids.com/themes/estore/)
15:05:47	2593/2593	---M--	200	added ('OK')	image/png	etag:%22a21-64c7cc9b-248199c621e382f4;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-cart/product-1.png	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-cart/product-1.png	(from https://demo.graygrids.com/themes/estore/)
15:05:48	2759/2759	---M--	200	added ('OK')	image/png	etag:%22ac7-64c7cc9b-808ba929b727d694;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-cart/product-2.png	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-cart/product-2.png	(from https://demo.graygrids.com/themes/estore/)
15:05:48	2572/2572	---M--	200	added ('OK')	image/png	etag:%22a0c-64c7cc9b-aefbb02d2c3e3295;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-cart/product-3.png	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-cart/product-3.png	(from https://demo.graygrids.com/themes/estore/)
15:05:49	2699/2699	---M--	200	added ('OK')	image/png	etag:%22a8b-64c7cc9b-fabc16ba64e69ece;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-cart/product-4.png	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-cart/product-4.png	(from https://demo.graygrids.com/themes/estore/)
15:05:52	432474/432474	---M--	200	added ('OK')	image/jpeg	etag:%226995a-64c7cc90-21d52f8006b1420f;;;%22	https://demo.graygrids.com/themes/estore/assets/images/header-1/header-big-1.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/header-1/header-big-1.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:55	559814/559814	---M--	200	added ('OK')	image/jpeg	etag:%2288ac6-64c7cc93-c257ecc6e4bd069e;;;%22	https://demo.graygrids.com/themes/estore/assets/images/header-1/header-big-2.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/header-1/header-big-2.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:55	50495/50495	---M--	200	added ('OK')	image/jpeg	etag:%22c53f-64c7cc90-51e2a6bfb865216b;;;%22	https://demo.graygrids.com/themes/estore/assets/images/header-1/header-min-1.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/header-1/header-min-1.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:56	4504/4504	---M-Z	200	added ('OK')	image/svg+xml	etag:%221198-64c7cc96-a4c59400c0d10f6d;gz%22	https://demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-5.svg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-5.svg	(from https://demo.graygrids.com/themes/estore/)
